qid,term,topic,subtopic,difficulty,questiontype,parentid,orderinparent,questiontext,optiona,optionb,optionc,optiond,correctanswer,hint,detailedsolution,imagelocation,tags,engine_type,mode,json_reference,model_url,has_hotspots,wordbank,question_score,full_json_content,filename,folder
04-008_Q2,T1,Word Problems,Quest 4-008: Word Proper,E,Simulation,,2,Step 2: Calculate Proper Subsets.,,,,,,2³ - 1 = 8 - 1 = 7.,,,[],SET_THEORY,quiz,content/math/set_theory/quest_04_calculating_proper_subsets/04-008.json,,No,,5,"{   ""engineType"": ""SET_THEORY"",   ""mode"": ""quiz"",   ""subject"": ""MATH"",   ""topic"": ""Word Problems"",   ""variantTitle"": ""Quest 4-008: Word Proper"",   ""sets"": { ""A"": { ""label"": ""W"", ""color"": ""#db2777"" }, ""B"": { ""label"": """", ""color"": ""transparent"" } },   ""zones"": { ""left"": [], ""center"": [""E"", ""A"", ""T""], ""right"": [], ""outside"": [] },   ""questions"": [     {       ""type"": ""COUNT"",       ""targetRegion"": ""intersection"",       ""prompt"": ""<b>Step 1:</b> Find n(W) for the word 'EAT'."",       ""hint"": ""There are 3 letters.""     },     {       ""retain_visuals"": true,       ""type"": ""PROPER_SUBSET_COUNT"",       ""targetRegion"": ""intersection"",       ""prompt"": ""<b>Step 2:</b> Calculate <b>Proper Subsets</b>."",       ""hint"": ""2³ - 1 = 8 - 1 = 7.""     }   ] }",04-008.json,quest_04_calculating_proper_subsets
04-009_Q1,T1,Concepts,Quest 4-010: Concept Check,E,Simulation,,1,"Total Subsets of {1, 2}?",,,,,,2² = 4.,,,[],SET_THEORY,quiz,content/math/set_theory/quest_04_calculating_proper_subsets/04-009.json,,No,,5,"{   ""engineType"": ""SET_THEORY"",   ""mode"": ""quiz"",   ""subject"": ""MATH"",   ""topic"": ""Concepts"",   ""variantTitle"": ""Quest 4-010: Concept Check"",   ""sets"": { ""A"": { ""label"": ""A"", ""color"": ""#9333ea"" }, ""B"": { ""label"": """", ""color"": ""transparent"" } },   ""zones"": { ""left"": [], ""center"": [""1"", ""2""], ""right"": [], ""outside"": [] },   ""questions"": [     {       ""type"": ""SUBSET_COUNT"",       ""targetRegion"": ""intersection"",       ""prompt"": ""Total Subsets of {1, 2}?"",       ""hint"": ""2² = 4.""     },     {       ""retain_visuals"": true,       ""type"": ""PROPER_SUBSET_COUNT"",       ""targetRegion"": ""intersection"",       ""prompt"": ""Total <b>Proper</b> Subsets?"",       ""hint"": ""4 - 1 = 3.""     },     {       ""interaction"": ""CHOICE"",       ""prompt"": ""Which subset is removed to make them 'Proper'?"",       ""options"": [         ""The Empty Set"",         ""The Set Itself"",         ""Single Elements"",         ""None""       ],       ""expected"": ""The Set Itself"",       ""hint"": ""Proper subsets cannot be equal to the original set.""     }   ] }",04-009.json,quest_04_calculating_proper_subsets
04-009_Q2,T1,Concepts,Quest 4-010: Concept Check,E,Simulation,,2,Total Proper Subsets?,,,,,,4 - 1 = 3.,,,[],SET_THEORY,quiz,content/math/set_theory/quest_04_calculating_proper_subsets/04-009.json,,No,,5,"{   ""engineType"": ""SET_THEORY"",   ""mode"": ""quiz"",   ""subject"": ""MATH"",   ""topic"": ""Concepts"",   ""variantTitle"": ""Quest 4-010: Concept Check"",   ""sets"": { ""A"": { ""label"": ""A"", ""color"": ""#9333ea"" }, ""B"": { ""label"": """", ""color"": ""transparent"" } },   ""zones"": { ""left"": [], ""center"": [""1"", ""2""], ""right"": [], ""outside"": [] },   ""questions"": [     {       ""type"": ""SUBSET_COUNT"",       ""targetRegion"": ""intersection"",       ""prompt"": ""Total Subsets of {1, 2}?"",       ""hint"": ""2² = 4.""     },     {       ""retain_visuals"": true,       ""type"": ""PROPER_SUBSET_COUNT"",       ""targetRegion"": ""intersection"",       ""prompt"": ""Total <b>Proper</b> Subsets?"",       ""hint"": ""4 - 1 = 3.""     },     {       ""interaction"": ""CHOICE"",       ""prompt"": ""Which subset is removed to make them 'Proper'?"",       ""options"": [         ""The Empty Set"",         ""The Set Itself"",         ""Single Elements"",         ""None""       ],       ""expected"": ""The Set Itself"",       ""hint"": ""Proper subsets cannot be equal to the original set.""     }   ] }",04-009.json,quest_04_calculating_proper_subsets
04-009_Q3,T1,Concepts,Quest 4-010: Concept Check,E,Simulation,,3,Which subset is removed to make them 'Proper'?,The Empty Set,The Set Itself,Single Elements,None,The Set Itself,Proper subsets cannot be equal to the original set.,,,[],SET_THEORY,quiz,content/math/set_theory/quest_04_calculating_proper_subsets/04-009.json,,No,,5,"{   ""engineType"": ""SET_THEORY"",   ""mode"": ""quiz"",   ""subject"": ""MATH"",   ""topic"": ""Concepts"",   ""variantTitle"": ""Quest 4-010: Concept Check"",   ""sets"": { ""A"": { ""label"": ""A"", ""color"": ""#9333ea"" }, ""B"": { ""label"": """", ""color"": ""transparent"" } },   ""zones"": { ""left"": [], ""center"": [""1"", ""2""], ""right"": [], ""outside"": [] },   ""questions"": [     {       ""type"": ""SUBSET_COUNT"",       ""targetRegion"": ""intersection"",       ""prompt"": ""Total Subsets of {1, 2}?"",       ""hint"": ""2² = 4.""     },     {       ""retain_visuals"": true,       ""type"": ""PROPER_SUBSET_COUNT"",       ""targetRegion"": ""intersection"",       ""prompt"": ""Total <b>Proper</b> Subsets?"",       ""hint"": ""4 - 1 = 3.""     },     {       ""interaction"": ""CHOICE"",       ""prompt"": ""Which subset is removed to make them 'Proper'?"",       ""options"": [         ""The Empty Set"",         ""The Set Itself"",         ""Single Elements"",         ""None""       ],       ""expected"": ""The Set Itself"",       ""hint"": ""Proper subsets cannot be equal to the original set.""     }   ] }",04-009.json,quest_04_calculating_proper_subsets
study_proper_subsets_S1,T1,Proper Subsets,Proper vs Improper Subsets,E,Read,,1,What is a Proper Subset?: We learned that a subset is a part of a larger set.A Proper Subset is a subset that is strictly smaller than the original set. It cannot be equal to the original set.,,,,,,,,,[],MATH_STUDY,study,content/math/set_theory/quest_04_calculating_proper_subsets/study_proper_subsets.json,,No,,0,"{   ""engineType"": ""MATH_STUDY"",   ""mode"": ""study"",   ""topic"": ""Proper Subsets"",   ""variantTitle"": ""Proper vs Improper Subsets"",   ""slides"": [     {       ""title"": ""What is a Proper Subset?"",       ""text"": ""We learned that a subset is a part of a larger set.<br><br>A <b>Proper Subset</b> is a subset that is strictly <b>smaller</b> than the original set. It cannot be equal to the original set."",       ""visualType"": ""SUBSETS_DIAGRAM"",       ""labels"": [""A"", ""B""],       ""elements"": { ""subset"": ""1, 2"", ""difference"": ""3, 4"" },       ""highlight"": [""subset""]     },     {       ""title"": ""The 'Improper' Subset"",       ""text"": ""Did you know? Every set is a subset of itself!<br><br>If Set A = {1, 2}, then {1, 2} is a subset of A. <br>But it is <b>NOT</b> a Proper Subset. We call it an <b>Improper Subset</b>."",       ""visualType"": ""EQUAL_SETS"",       ""labels"": [""A"", ""Subset""],       ""items"": ""1, 2""     },     {       ""title"": ""The Logic"",       ""text"": ""For a subset to be <b>Proper</b>, there must be at least one member left over in the main set.<br><br>Look at the diagram: Set B has members '3' and '4' that are NOT in A."",       ""visualType"": ""SUBSETS_DIAGRAM"",       ""labels"": [""A"", ""B""],       ""elements"": { ""subset"": ""1, 2"", ""difference"": ""3, 4"" },       ""highlight"": [""difference""]     },     {       ""title"": ""The Formula"",       ""text"": ""To calculate the number of Proper Subsets, we take the total subsets and <b>subtract 1</b> (the improper one).<br><br><center><span class='sym'>Proper Subsets = 2ⁿ - 1</span></center>"",       ""visualType"": ""POWER_SET_TREE"",       ""items"": [""a"", ""b""],       ""showProper"": true     },     {       ""title"": ""Example Calculation"",       ""text"": ""Let's try Set P = { a, b }.<br><b>n = 2</b>.<br><br>Total Subsets = 2² = 4.<br>Proper Subsets = 4 - 1 = <b>3</b>."",       ""visualType"": ""POWER_SET_TREE"",       ""items"": [""a"", ""b""],       ""showProper"": true     },     {       ""title"": ""Listing Them"",       ""text"": ""For Set {a, b}:<br><br><b>Proper:</b> {a}, {b}, { }<br><b>Improper:</b> {a, b} (We throw this one away!)"",       ""visualType"": ""FINITE_BASKET"",       ""visualData"": [""{a}"", ""{b}"", ""{ }""],       ""showCount"": false     }   ] }",study_proper_subsets.json,quest_04_calculating_proper_subsets
study_proper_subsets_S2,T1,Proper Subsets,Proper vs Improper Subsets,E,Read,,2,"The 'Improper' Subset: Did you know? Every set is a subset of itself!If Set A = {1, 2}, then {1, 2} is a subset of A. But it is NOT a Proper Subset. We call it an Improper Subset.",,,,,,,,,[],MATH_STUDY,study,content/math/set_theory/quest_04_calculating_proper_subsets/study_proper_subsets.json,,No,,0,"{   ""engineType"": ""MATH_STUDY"",   ""mode"": ""study"",   ""topic"": ""Proper Subsets"",   ""variantTitle"": ""Proper vs Improper Subsets"",   ""slides"": [     {       ""title"": ""What is a Proper Subset?"",       ""text"": ""We learned that a subset is a part of a larger set.<br><br>A <b>Proper Subset</b> is a subset that is strictly <b>smaller</b> than the original set. It cannot be equal to the original set."",       ""visualType"": ""SUBSETS_DIAGRAM"",       ""labels"": [""A"", ""B""],       ""elements"": { ""subset"": ""1, 2"", ""difference"": ""3, 4"" },       ""highlight"": [""subset""]     },     {       ""title"": ""The 'Improper' Subset"",       ""text"": ""Did you know? Every set is a subset of itself!<br><br>If Set A = {1, 2}, then {1, 2} is a subset of A. <br>But it is <b>NOT</b> a Proper Subset. We call it an <b>Improper Subset</b>."",       ""visualType"": ""EQUAL_SETS"",       ""labels"": [""A"", ""Subset""],       ""items"": ""1, 2""     },     {       ""title"": ""The Logic"",       ""text"": ""For a subset to be <b>Proper</b>, there must be at least one member left over in the main set.<br><br>Look at the diagram: Set B has members '3' and '4' that are NOT in A."",       ""visualType"": ""SUBSETS_DIAGRAM"",       ""labels"": [""A"", ""B""],       ""elements"": { ""subset"": ""1, 2"", ""difference"": ""3, 4"" },       ""highlight"": [""difference""]     },     {       ""title"": ""The Formula"",       ""text"": ""To calculate the number of Proper Subsets, we take the total subsets and <b>subtract 1</b> (the improper one).<br><br><center><span class='sym'>Proper Subsets = 2ⁿ - 1</span></center>"",       ""visualType"": ""POWER_SET_TREE"",       ""items"": [""a"", ""b""],       ""showProper"": true     },     {       ""title"": ""Example Calculation"",       ""text"": ""Let's try Set P = { a, b }.<br><b>n = 2</b>.<br><br>Total Subsets = 2² = 4.<br>Proper Subsets = 4 - 1 = <b>3</b>."",       ""visualType"": ""POWER_SET_TREE"",       ""items"": [""a"", ""b""],       ""showProper"": true     },     {       ""title"": ""Listing Them"",       ""text"": ""For Set {a, b}:<br><br><b>Proper:</b> {a}, {b}, { }<br><b>Improper:</b> {a, b} (We throw this one away!)"",       ""visualType"": ""FINITE_BASKET"",       ""visualData"": [""{a}"", ""{b}"", ""{ }""],       ""showCount"": false     }   ] }",study_proper_subsets.json,quest_04_calculating_proper_subsets
study_proper_subsets_S3,T1,Proper Subsets,Proper vs Improper Subsets,E,Read,,3,"The Logic: For a subset to be Proper, there must be at least one member left over in the main set.Look at the diagram: Set B has members '3' and '4' that are NOT in A.",,,,,,,,,[],MATH_STUDY,study,content/math/set_theory/quest_04_calculating_proper_subsets/study_proper_subsets.json,,No,,0,"{   ""engineType"": ""MATH_STUDY"",   ""mode"": ""study"",   ""topic"": ""Proper Subsets"",   ""variantTitle"": ""Proper vs Improper Subsets"",   ""slides"": [     {       ""title"": ""What is a Proper Subset?"",       ""text"": ""We learned that a subset is a part of a larger set.<br><br>A <b>Proper Subset</b> is a subset that is strictly <b>smaller</b> than the original set. It cannot be equal to the original set."",       ""visualType"": ""SUBSETS_DIAGRAM"",       ""labels"": [""A"", ""B""],       ""elements"": { ""subset"": ""1, 2"", ""difference"": ""3, 4"" },       ""highlight"": [""subset""]     },     {       ""title"": ""The 'Improper' Subset"",       ""text"": ""Did you know? Every set is a subset of itself!<br><br>If Set A = {1, 2}, then {1, 2} is a subset of A. <br>But it is <b>NOT</b> a Proper Subset. We call it an <b>Improper Subset</b>."",       ""visualType"": ""EQUAL_SETS"",       ""labels"": [""A"", ""Subset""],       ""items"": ""1, 2""     },     {       ""title"": ""The Logic"",       ""text"": ""For a subset to be <b>Proper</b>, there must be at least one member left over in the main set.<br><br>Look at the diagram: Set B has members '3' and '4' that are NOT in A."",       ""visualType"": ""SUBSETS_DIAGRAM"",       ""labels"": [""A"", ""B""],       ""elements"": { ""subset"": ""1, 2"", ""difference"": ""3, 4"" },       ""highlight"": [""difference""]     },     {       ""title"": ""The Formula"",       ""text"": ""To calculate the number of Proper Subsets, we take the total subsets and <b>subtract 1</b> (the improper one).<br><br><center><span class='sym'>Proper Subsets = 2ⁿ - 1</span></center>"",       ""visualType"": ""POWER_SET_TREE"",       ""items"": [""a"", ""b""],       ""showProper"": true     },     {       ""title"": ""Example Calculation"",       ""text"": ""Let's try Set P = { a, b }.<br><b>n = 2</b>.<br><br>Total Subsets = 2² = 4.<br>Proper Subsets = 4 - 1 = <b>3</b>."",       ""visualType"": ""POWER_SET_TREE"",       ""items"": [""a"", ""b""],       ""showProper"": true     },     {       ""title"": ""Listing Them"",       ""text"": ""For Set {a, b}:<br><br><b>Proper:</b> {a}, {b}, { }<br><b>Improper:</b> {a, b} (We throw this one away!)"",       ""visualType"": ""FINITE_BASKET"",       ""visualData"": [""{a}"", ""{b}"", ""{ }""],       ""showCount"": false     }   ] }",study_proper_subsets.json,quest_04_calculating_proper_subsets
study_proper_subsets_S4,T1,Proper Subsets,Proper vs Improper Subsets,E,Read,,4,"The Formula: To calculate the number of Proper Subsets, we take the total subsets and subtract 1 (the improper one).Proper Subsets = 2ⁿ - 1",,,,,,,,,[],MATH_STUDY,study,content/math/set_theory/quest_04_calculating_proper_subsets/study_proper_subsets.json,,No,,0,"{   ""engineType"": ""MATH_STUDY"",   ""mode"": ""study"",   ""topic"": ""Proper Subsets"",   ""variantTitle"": ""Proper vs Improper Subsets"",   ""slides"": [     {       ""title"": ""What is a Proper Subset?"",       ""text"": ""We learned that a subset is a part of a larger set.<br><br>A <b>Proper Subset</b> is a subset that is strictly <b>smaller</b> than the original set. It cannot be equal to the original set."",       ""visualType"": ""SUBSETS_DIAGRAM"",       ""labels"": [""A"", ""B""],       ""elements"": { ""subset"": ""1, 2"", ""difference"": ""3, 4"" },       ""highlight"": [""subset""]     },     {       ""title"": ""The 'Improper' Subset"",       ""text"": ""Did you know? Every set is a subset of itself!<br><br>If Set A = {1, 2}, then {1, 2} is a subset of A. <br>But it is <b>NOT</b> a Proper Subset. We call it an <b>Improper Subset</b>."",       ""visualType"": ""EQUAL_SETS"",       ""labels"": [""A"", ""Subset""],       ""items"": ""1, 2""     },     {       ""title"": ""The Logic"",       ""text"": ""For a subset to be <b>Proper</b>, there must be at least one member left over in the main set.<br><br>Look at the diagram: Set B has members '3' and '4' that are NOT in A."",       ""visualType"": ""SUBSETS_DIAGRAM"",       ""labels"": [""A"", ""B""],       ""elements"": { ""subset"": ""1, 2"", ""difference"": ""3, 4"" },       ""highlight"": [""difference""]     },     {       ""title"": ""The Formula"",       ""text"": ""To calculate the number of Proper Subsets, we take the total subsets and <b>subtract 1</b> (the improper one).<br><br><center><span class='sym'>Proper Subsets = 2ⁿ - 1</span></center>"",       ""visualType"": ""POWER_SET_TREE"",       ""items"": [""a"", ""b""],       ""showProper"": true     },     {       ""title"": ""Example Calculation"",       ""text"": ""Let's try Set P = { a, b }.<br><b>n = 2</b>.<br><br>Total Subsets = 2² = 4.<br>Proper Subsets = 4 - 1 = <b>3</b>."",       ""visualType"": ""POWER_SET_TREE"",       ""items"": [""a"", ""b""],       ""showProper"": true     },     {       ""title"": ""Listing Them"",       ""text"": ""For Set {a, b}:<br><br><b>Proper:</b> {a}, {b}, { }<br><b>Improper:</b> {a, b} (We throw this one away!)"",       ""visualType"": ""FINITE_BASKET"",       ""visualData"": [""{a}"", ""{b}"", ""{ }""],       ""showCount"": false     }   ] }",study_proper_subsets.json,quest_04_calculating_proper_subsets
study_proper_subsets_S5,T1,Proper Subsets,Proper vs Improper Subsets,E,Read,,5,"Example Calculation: Let's try Set P = { a, b }.n = 2.Total Subsets = 2² = 4.Proper Subsets = 4 - 1 = 3.",,,,,,,,,[],MATH_STUDY,study,content/math/set_theory/quest_04_calculating_proper_subsets/study_proper_subsets.json,,No,,0,"{   ""engineType"": ""MATH_STUDY"",   ""mode"": ""study"",   ""topic"": ""Proper Subsets"",   ""variantTitle"": ""Proper vs Improper Subsets"",   ""slides"": [     {       ""title"": ""What is a Proper Subset?"",       ""text"": ""We learned that a subset is a part of a larger set.<br><br>A <b>Proper Subset</b> is a subset that is strictly <b>smaller</b> than the original set. It cannot be equal to the original set."",       ""visualType"": ""SUBSETS_DIAGRAM"",       ""labels"": [""A"", ""B""],       ""elements"": { ""subset"": ""1, 2"", ""difference"": ""3, 4"" },       ""highlight"": [""subset""]     },     {       ""title"": ""The 'Improper' Subset"",       ""text"": ""Did you know? Every set is a subset of itself!<br><br>If Set A = {1, 2}, then {1, 2} is a subset of A. <br>But it is <b>NOT</b> a Proper Subset. We call it an <b>Improper Subset</b>."",       ""visualType"": ""EQUAL_SETS"",       ""labels"": [""A"", ""Subset""],       ""items"": ""1, 2""     },     {       ""title"": ""The Logic"",       ""text"": ""For a subset to be <b>Proper</b>, there must be at least one member left over in the main set.<br><br>Look at the diagram: Set B has members '3' and '4' that are NOT in A."",       ""visualType"": ""SUBSETS_DIAGRAM"",       ""labels"": [""A"", ""B""],       ""elements"": { ""subset"": ""1, 2"", ""difference"": ""3, 4"" },       ""highlight"": [""difference""]     },     {       ""title"": ""The Formula"",       ""text"": ""To calculate the number of Proper Subsets, we take the total subsets and <b>subtract 1</b> (the improper one).<br><br><center><span class='sym'>Proper Subsets = 2ⁿ - 1</span></center>"",       ""visualType"": ""POWER_SET_TREE"",       ""items"": [""a"", ""b""],       ""showProper"": true     },     {       ""title"": ""Example Calculation"",       ""text"": ""Let's try Set P = { a, b }.<br><b>n = 2</b>.<br><br>Total Subsets = 2² = 4.<br>Proper Subsets = 4 - 1 = <b>3</b>."",       ""visualType"": ""POWER_SET_TREE"",       ""items"": [""a"", ""b""],       ""showProper"": true     },     {       ""title"": ""Listing Them"",       ""text"": ""For Set {a, b}:<br><br><b>Proper:</b> {a}, {b}, { }<br><b>Improper:</b> {a, b} (We throw this one away!)"",       ""visualType"": ""FINITE_BASKET"",       ""visualData"": [""{a}"", ""{b}"", ""{ }""],       ""showCount"": false     }   ] }",study_proper_subsets.json,quest_04_calculating_proper_subsets
study_proper_subsets_S6,T1,Proper Subsets,Proper vs Improper Subsets,E,Read,,6,"Listing Them: For Set {a, b}:Proper: {a}, {b}, { }Improper: {a, b} (We throw this one away!)",,,,,,,,,[],MATH_STUDY,study,content/math/set_theory/quest_04_calculating_proper_subsets/study_proper_subsets.json,,No,,0,"{   ""engineType"": ""MATH_STUDY"",   ""mode"": ""study"",   ""topic"": ""Proper Subsets"",   ""variantTitle"": ""Proper vs Improper Subsets"",   ""slides"": [     {       ""title"": ""What is a Proper Subset?"",       ""text"": ""We learned that a subset is a part of a larger set.<br><br>A <b>Proper Subset</b> is a subset that is strictly <b>smaller</b> than the original set. It cannot be equal to the original set."",       ""visualType"": ""SUBSETS_DIAGRAM"",       ""labels"": [""A"", ""B""],       ""elements"": { ""subset"": ""1, 2"", ""difference"": ""3, 4"" },       ""highlight"": [""subset""]     },     {       ""title"": ""The 'Improper' Subset"",       ""text"": ""Did you know? Every set is a subset of itself!<br><br>If Set A = {1, 2}, then {1, 2} is a subset of A. <br>But it is <b>NOT</b> a Proper Subset. We call it an <b>Improper Subset</b>."",       ""visualType"": ""EQUAL_SETS"",       ""labels"": [""A"", ""Subset""],       ""items"": ""1, 2""     },     {       ""title"": ""The Logic"",       ""text"": ""For a subset to be <b>Proper</b>, there must be at least one member left over in the main set.<br><br>Look at the diagram: Set B has members '3' and '4' that are NOT in A."",       ""visualType"": ""SUBSETS_DIAGRAM"",       ""labels"": [""A"", ""B""],       ""elements"": { ""subset"": ""1, 2"", ""difference"": ""3, 4"" },       ""highlight"": [""difference""]     },     {       ""title"": ""The Formula"",       ""text"": ""To calculate the number of Proper Subsets, we take the total subsets and <b>subtract 1</b> (the improper one).<br><br><center><span class='sym'>Proper Subsets = 2ⁿ - 1</span></center>"",       ""visualType"": ""POWER_SET_TREE"",       ""items"": [""a"", ""b""],       ""showProper"": true     },     {       ""title"": ""Example Calculation"",       ""text"": ""Let's try Set P = { a, b }.<br><b>n = 2</b>.<br><br>Total Subsets = 2² = 4.<br>Proper Subsets = 4 - 1 = <b>3</b>."",       ""visualType"": ""POWER_SET_TREE"",       ""items"": [""a"", ""b""],       ""showProper"": true     },     {       ""title"": ""Listing Them"",       ""text"": ""For Set {a, b}:<br><br><b>Proper:</b> {a}, {b}, { }<br><b>Improper:</b> {a, b} (We throw this one away!)"",       ""visualType"": ""FINITE_BASKET"",       ""visualData"": [""{a}"", ""{b}"", ""{ }""],       ""showCount"": false     }   ] }",study_proper_subsets.json,quest_04_calculating_proper_subsets
05-001_Q1,T1,Working Backwards,Quest 5: Power Plant,E,Simulation,,1,Target Output: 16 Subsets. How many cells (n) are needed?,,,,,,,,,[],BINARY_GENERATOR,quiz,content/math/set_theory/quest_05_working_backwards/05-001.json,,No,,5,"{   ""engineType"": ""BINARY_GENERATOR"",   ""mode"": ""quiz"",   ""subject"": ""MATH"",   ""topic"": ""Working Backwards"",   ""variantTitle"": ""Quest 5: Power Plant"",   ""questions"": [     {       ""targetVal"": 16,       ""prompt"": ""Target Output: <b>16 Subsets</b>. How many cells (n) are needed?""     }   ] }",05-001.json,quest_05_working_backwards
05-002_Q1,T1,Proper Subsets,Quest 5: The Pizza Chef,E,Simulation,,1,Intern Level: Make a menu with 3 Proper Subsets.,,,,,,,,,[],PIZZA_GAME,quiz,content/math/set_theory/quest_05_working_backwards/05-002.json,,No,,5,"{   ""engineType"": ""PIZZA_GAME"",   ""mode"": ""quiz"",   ""subject"": ""MATH"",   ""topic"": ""Proper Subsets"",   ""variantTitle"": ""Quest 5: The Pizza Chef"",   ""questions"": [     {       ""targetVal"": 3,       ""prompt"": ""<b>Intern Level:</b> Make a menu with <b>3 Proper Subsets</b>.""     },     {       ""targetVal"": 7,       ""prompt"": ""<b>Sous Chef:</b> Make a menu with <b>7 Proper Subsets</b>.""     },     {       ""targetVal"": 15,       ""prompt"": ""<b>Head Chef:</b> Make a menu with <b>15 Proper Subsets</b>.""     },     {       ""targetVal"": 31,       ""prompt"": ""<b>Master Chef:</b> The ultimate order! <b>31 Proper Subsets</b>.""     }   ] }",05-002.json,quest_05_working_backwards
05-002_Q2,T1,Proper Subsets,Quest 5: The Pizza Chef,E,Simulation,,2,Sous Chef: Make a menu with 7 Proper Subsets.,,,,,,,,,[],PIZZA_GAME,quiz,content/math/set_theory/quest_05_working_backwards/05-002.json,,No,,5,"{   ""engineType"": ""PIZZA_GAME"",   ""mode"": ""quiz"",   ""subject"": ""MATH"",   ""topic"": ""Proper Subsets"",   ""variantTitle"": ""Quest 5: The Pizza Chef"",   ""questions"": [     {       ""targetVal"": 3,       ""prompt"": ""<b>Intern Level:</b> Make a menu with <b>3 Proper Subsets</b>.""     },     {       ""targetVal"": 7,       ""prompt"": ""<b>Sous Chef:</b> Make a menu with <b>7 Proper Subsets</b>.""     },     {       ""targetVal"": 15,       ""prompt"": ""<b>Head Chef:</b> Make a menu with <b>15 Proper Subsets</b>.""     },     {       ""targetVal"": 31,       ""prompt"": ""<b>Master Chef:</b> The ultimate order! <b>31 Proper Subsets</b>.""     }   ] }",05-002.json,quest_05_working_backwards
05-002_Q3,T1,Proper Subsets,Quest 5: The Pizza Chef,E,Simulation,,3,Head Chef: Make a menu with 15 Proper Subsets.,,,,,,,,,[],PIZZA_GAME,quiz,content/math/set_theory/quest_05_working_backwards/05-002.json,,No,,5,"{   ""engineType"": ""PIZZA_GAME"",   ""mode"": ""quiz"",   ""subject"": ""MATH"",   ""topic"": ""Proper Subsets"",   ""variantTitle"": ""Quest 5: The Pizza Chef"",   ""questions"": [     {       ""targetVal"": 3,       ""prompt"": ""<b>Intern Level:</b> Make a menu with <b>3 Proper Subsets</b>.""     },     {       ""targetVal"": 7,       ""prompt"": ""<b>Sous Chef:</b> Make a menu with <b>7 Proper Subsets</b>.""     },     {       ""targetVal"": 15,       ""prompt"": ""<b>Head Chef:</b> Make a menu with <b>15 Proper Subsets</b>.""     },     {       ""targetVal"": 31,       ""prompt"": ""<b>Master Chef:</b> The ultimate order! <b>31 Proper Subsets</b>.""     }   ] }",05-002.json,quest_05_working_backwards
05-002_Q4,T1,Proper Subsets,Quest 5: The Pizza Chef,E,Simulation,,4,Master Chef: The ultimate order! 31 Proper Subsets.,,,,,,,,,[],PIZZA_GAME,quiz,content/math/set_theory/quest_05_working_backwards/05-002.json,,No,,5,"{   ""engineType"": ""PIZZA_GAME"",   ""mode"": ""quiz"",   ""subject"": ""MATH"",   ""topic"": ""Proper Subsets"",   ""variantTitle"": ""Quest 5: The Pizza Chef"",   ""questions"": [     {       ""targetVal"": 3,       ""prompt"": ""<b>Intern Level:</b> Make a menu with <b>3 Proper Subsets</b>.""     },     {       ""targetVal"": 7,       ""prompt"": ""<b>Sous Chef:</b> Make a menu with <b>7 Proper Subsets</b>.""     },     {       ""targetVal"": 15,       ""prompt"": ""<b>Head Chef:</b> Make a menu with <b>15 Proper Subsets</b>.""     },     {       ""targetVal"": 31,       ""prompt"": ""<b>Master Chef:</b> The ultimate order! <b>31 Proper Subsets</b>.""     }   ] }",05-002.json,quest_05_working_backwards
05-003_Q1,T1,Working Backwards,Quest 5-009: Reverse 63,E,Simulation,,1,Set K has 63 Proper Subsets. Find n(K).,,,,,,2ⁿ - 1 = 63. So 2ⁿ = 64. Count powers of 2.,,,[],SET_THEORY,quiz,content/math/set_theory/quest_05_working_backwards/05-003.json,,No,,5,"{   ""engineType"": ""SET_THEORY"",   ""mode"": ""quiz"",   ""subject"": ""MATH"",   ""topic"": ""Working Backwards"",   ""variantTitle"": ""Quest 5-009: Reverse 63"",   ""sets"": { ""A"": { ""label"": ""K"", ""color"": ""#2563eb"" }, ""B"": { ""label"": """", ""color"": ""transparent"" } },   ""zones"": { ""left"": [], ""center"": [], ""right"": [], ""outside"": [] },   ""questions"": [     {       ""type"": ""REVERSE_PROPER_SUBSET"",       ""targetRegion"": ""union"",       ""expected_val"": 6,       ""prompt"": ""Set K has <b>63 Proper Subsets</b>. Find n(K)."",       ""hint"": ""2ⁿ - 1 = 63. So 2ⁿ = 64. Count powers of 2.""     }   ] }",05-003.json,quest_05_working_backwards
05-004_Q1,T1,Indices,Quest 5-007: Indices Quiz,E,Simulation,,1,Solve for n: 2ⁿ = 32,4,5,6,16,5,2 x 2 x 2 x 2 x 2 = 32.,,,[],SET_THEORY,quiz,content/math/set_theory/quest_05_working_backwards/05-004.json,,No,,5,"{   ""engineType"": ""SET_THEORY"",   ""mode"": ""quiz"",   ""subject"": ""MATH"",   ""topic"": ""Indices"",   ""variantTitle"": ""Quest 5-007: Indices Quiz"",   ""sets"": { ""A"": { ""label"": """", ""color"": ""transparent"" }, ""B"": { ""label"": """", ""color"": ""transparent"" } },   ""zones"": { ""left"": [], ""center"": [], ""right"": [], ""outside"": [] },   ""questions"": [     {       ""interaction"": ""CHOICE"",       ""prompt"": ""Solve for n: <b>2ⁿ = 32</b>"",       ""options"": [""4"", ""5"", ""6"", ""16""],       ""expected"": ""5"",       ""hint"": ""2 x 2 x 2 x 2 x 2 = 32.""     },     {       ""interaction"": ""CHOICE"",       ""prompt"": ""Solve for x: <b>2ˣ - 1 = 15</b>"",       ""options"": [""3"", ""4"", ""5"", ""15""],       ""expected"": ""4"",       ""hint"": ""2ˣ = 16. So x=4.""     }   ] }",05-004.json,quest_05_working_backwards
