Type,Engine,Topic,Subtopic,Question_Text,Expected_Answer
Read,MATH_STUDY,Venn Strategy,Placing Information,"The Golden Rule: To fill a Venn Diagram correctly, there is one Golden Rule:Fill the Intersection FIRST!Let's see why, using Red shapes and Circles.",
Read,MATH_STUDY,Venn Strategy,Placing Information,"1. Visual Sorting: Set A: Red Objects.Set B: Circles.Where does a Red Circle go?It is BOTH, so it goes in the Middle (Intersection).",
Read,MATH_STUDY,Venn Strategy,Placing Information,"2. Decoding Lists: Now let's use numbers. Sometimes lists are hidden in algebra!A = { x : 2 This means 'numbers between 2 and 6'.List: { 3, 4, 5 }",
Read,MATH_STUDY,Venn Strategy,Placing Information,"3. Comparing Lists: Set A = { 3, 4, 5 }Set B = { 4, 5, 6 }What is in BOTH? { 4, 5 }.We place these in the middle immediately.",
Read,MATH_STUDY,Venn Strategy,Placing Information,"4. Subtract for 'Only': Set A has {3, 4, 5}. But {4, 5} are already in the middle!So, A Only gets the remaining member: 3.Similarly, B Only gets 6.",
Read,MATH_STUDY,Venn Strategy,Placing Information,"5. The Outsiders: What about numbers not in A or B?If Total = {3, 4, 5, 6, 7, 8}, then 7 and 8 go Outside.This is called the Complement (A ∪ B)'.",
Visual Question,SET_THEORY,Solving for Unknowns,Quest 7: Finding X,"Given n(R) = 25, find x.",
Visual Question,SET_THEORY,Solving for Unknowns,Quest 7: Finding X,How many pupils eat Matooke?,
Visual Question,SET_THEORY,Solving for Unknowns,Quest 7: Finding X,How many eat one type only?,
Visual Question,SET_THEORY,Complex Equations,Quest 7-002: Advanced Algebra,"Given n(B) = 50, find x.",
Visual Question,SET_THEORY,Complex Equations,Quest 7-002: Advanced Algebra,How many grow Coffee?,
Visual Question,SET_THEORY,Complex Equations,Quest 7-002: Advanced Algebra,Farmers growing Beans but not Coffee?,
Visual Question,SET_THEORY,Solving from Regions,Quest 7-003: Region Algebra,"If 20 pupils like Mangoes ONLY, find y.",
Visual Question,SET_THEORY,Solving from Regions,Quest 7-003: Region Algebra,How many like Oranges ONLY?,
Visual Question,SET_THEORY,Solving from Regions,Quest 7-003: Region Algebra,Find the Total Number of pupils.,
Visual Question,SET_THEORY,Symmetric Difference,Quest 7-004: Only One Type,"If 36 pupils do only one activity, find k.",
Visual Question,SET_THEORY,Symmetric Difference,Quest 7-004: Only One Type,How many pupils do both activities?,
Visual Question,SET_THEORY,Symmetric Difference,Quest 7-004: Only One Type,Total pupils in Dancing?,
Visual Question,SET_THEORY,Equal Sets,Quest 7-005: Equating Sets,"If n(L) = n(E), find m.",
Visual Question,SET_THEORY,Equal Sets,Quest 7-005: Equating Sets,How many speak Luganda only?,
Visual Question,SET_THEORY,Equal Sets,Quest 7-005: Equating Sets,How many pupils in the class altogether?,
Visual Question,SET_THEORY,Equal Sets Algebra,Quest 7-005: Equal Sets,"If n(L) = n(E), find m.",
Visual Question,SET_THEORY,Equal Sets Algebra,Quest 7-005: Equal Sets,How many speak Luganda only?,
Visual Question,SET_THEORY,Equal Sets Algebra,Quest 7-005: Equal Sets,How many pupils in the class altogether?,
Visual Question,SET_THEORY,Equal Regions Algebra,Quest 7-006: Music Festival,"Total = 55. Singers only = 20, Drummers only = 15. Both equal Neither. Fill the diagram.",
Visual Question,SET_THEORY,Equal Regions Algebra,Quest 7-006: Music Festival,Find value of x (Both).,
Visual Question,SET_THEORY,Equal Regions Algebra,Quest 7-006: Music Festival,How many students are Singers in total?,
Visual Question,SET_THEORY,Finding Totals,Quest 7-007: Market Day,"Given n(P) = 29, find y.",
Visual Question,SET_THEORY,Finding Totals,Quest 7-007: Market Day,Find the Total People in the market.,
Visual Question,SET_THEORY,Algebraic Ratios,Quest 7-008: Sports Ratios,"Total = 90. n(F)=2x, n(R)=x. Both=10. Find x.",
Visual Question,SET_THEORY,Algebraic Ratios,Quest 7-008: Sports Ratios,Find Total Footballers.,
Visual Question,SET_THEORY,Algebraic Ratios,Quest 7-009: Book Sale,Phase 1: F-only is twice N-only (y). Both=10. Outside=10.,
Visual Question,SET_THEORY,Algebraic Ratios,Quest 7-009: Book Sale,Phase 2: Total books = 80. Find y.,
Visual Question,SET_THEORY,Complex Algebra,Quest 7-006: Sports Algebra,"If 21 pupils play only one game, find h.",
Visual Question,SET_THEORY,Complex Algebra,Quest 7-006: Sports Algebra,How many play Netball altogether?,
Visual Question,SET_THEORY,Complex Algebra,Quest 7-006: Sports Algebra,How many pupils do NOT play Netball?,
Visual Question,SET_THEORY,Algebraic Ratios,Quest 7-007: Farmer's Market,Phase 1: Both is 2x. Neither is x. Fill Diagram.,
Visual Question,SET_THEORY,Algebraic Ratios,Quest 7-007: Farmer's Market,Phase 2: Total = 50. Find x.,
Visual Question,SET_THEORY,Equal Sets,Quest 7-008: Clinic Data,"If n(M) = n(T), find y.",
Visual Question,SET_THEORY,Equal Sets,Quest 7-008: Clinic Data,Find Malaria Only.,
Visual Question,SET_THEORY,Algebraic Totals,Quest 7-009: Food Survey,Total = 45. Find x.,
Visual Question,SET_THEORY,Algebra via Total Set,Quest 7-010: Subject Algebra,Total Math pupils = 30. Find x.,
Visual Question,SET_THEORY,Algebra via Total Set,Quest 7-010: Subject Algebra,How many like Science ONLY?,
Visual Question,SET_THEORY,Algebra via Total Set,Quest 7-010: Subject Algebra,Find the Total Number of pupils in the class.,
Visual Question,SET_THEORY,Solving via Total,Quest 7-011: Art Class,Total=40. Total Paint=25. Sketch Only=x. Find x.,
Visual Question,SET_THEORY,Solving via Total,Quest 7-011: Art Class,How many do BOTH?,
Visual Question,SET_THEORY,Algebraic Totals,Quest 7-012: Sports Algebra,Total=60. Total F=40. R-only=x. Outside=5. Find x.,
Visual Question,SET_THEORY,Algebraic Totals,Quest 7-012: Sports Algebra,How many play BOTH?,
Visual Question,SET_THEORY,Algebra,Quest 7-014: Mystery Total,"Total=40. Intersection=10. A=2x, B=3x. Find x.",
Visual Question,SET_THEORY,Algebraic Ratios,Quest 7-013: 3:2 Ratio,"Phase 1: n(A)=3x, n(B)=2x. Both=x. Fill Only regions.",
Visual Question,SET_THEORY,Algebraic Ratios,Quest 7-013: 3:2 Ratio,Phase 2: Total = 40. Find x.,
Visual Question,SET_THEORY,Equating Regions,Quest 7-016: Set Construction,Phase 1: Construct the Diagram• R only: 3k-2 &nbsp; • B only: 2k+4• Intersection: 10 &nbsp; • Outside: k,
Visual Question,SET_THEORY,Equating Regions,Quest 7-016: Set Construction,Phase 2: Given n(R only) = n(B only). Find k.,
Visual Question,SET_THEORY,Equating Regions,Quest 7-016: Set Construction,How many are Outside the sets?,
Visual Question,SET_THEORY,Equal Totals,Quest 7-017: Exam Build,Phase 1: Build It• M-only: x+10 &nbsp; • E-only: 2x• Both: 5,
Visual Question,SET_THEORY,Equal Totals,Quest 7-017: Exam Build,"Phase 2: If n(M) = n(E), find x.",
Visual Question,SET_THEORY,Algebraic Construction,Quest 7-018: Sports Build,Phase 1: Build It• R-only: 2n &nbsp; • T-only: n• Both: 10,
Visual Question,SET_THEORY,Algebraic Construction,Quest 7-018: Sports Build,Phase 2: Total=40. Find n.,
Visual Question,SET_THEORY,Partial Sums,Quest 7-019: Set Logic,Step 1: Which equation helps find k given n(H)=24?,2k + (k+3) = 24
Visual Question,SET_THEORY,Partial Sums,Quest 7-019: Set Logic,Step 2: Solve 3k + 3 = 24. Find k.,
Visual Question,SET_THEORY,Partial Sums,Quest 7-019: Set Logic,Step 3: How many play Rugby Only?,
Visual Question,SET_THEORY,Intersection Formula,Quest 7-020: Intersection Solver,Total=50. Outside=0. Find Intersection z.,
Visual Question,SET_THEORY,Intersection Formula,Quest 7-020: Intersection Solver,Find p (Rice Only).,
Visual Question,SET_THEORY,Intersection Formula,Quest 7-020: Intersection Solver,Find q (Matooke Only).,
Read,MATH_STUDY,Complex Algebra,Mastering Set Equations,"The 4 Main Exam Questions: In hard exams, you won't just count numbers. You will solve for letters like k, m, or y.There are 4 types of questions. Let's learn to spot them.",
Read,MATH_STUDY,Complex Algebra,Mastering Set Equations,"Type 1: The 'Whole Circle' Rule: Clue: Question says ""n(A) = 24"".Logic: This means the Entire Circle A adds up to 24. Do not forget the intersection!Equation: (Left Only) + (Middle) = 242k + (k+3) = 24",
Read,MATH_STUDY,Complex Algebra,Mastering Set Equations,"Type 2: 'Only One' Activity: Clue: ""36 pupils do only one activity"".Logic: This refers to the 'ears' of the diagram. We ignore the middle.Equation: (Left Only) + (Right Only) = 364k + (2k+6) = 36",
Read,MATH_STUDY,Complex Algebra,Mastering Set Equations,"Type 3: Equal Sets: Clue: ""n(L) = n(E)"".Logic: The total of the Left Circle equals the total of the Right Circle.Equation: (Left + Mid) = (Mid + Right)5m+4 + m = m + 3m+12",
Read,MATH_STUDY,Complex Algebra,Mastering Set Equations,"Type 4: The Universal Sum: Clue: ""Total class = 90"" (and there are outsiders).Logic: Add EVERYTHING. Left + Middle + Right + Outside = Total.Equation: (3h+1) + 2h + (h-4) + (h+2) = 90",
Read,MATH_STUDY,Complex Algebra,Mastering Set Equations,"Final Step: Substitution: Finding x is not the end!If question asks: ""How many do Dancing?"", you must substitute x back into the expression.If x=5, Dancing = 4(5) + (5+2) = 27.",
Read,MATH_STUDY,Solving Unknowns,Algebra in Sets,"Why Algebra?: Sometimes we don't know the exact numbers in a region. Instead, we are given a letter like x.To find x, we need to build an Equation.",
Read,MATH_STUDY,Solving Unknowns,Algebra in Sets,Case 1: The Whole Circle: Problem: n(A) = 25. Find x.Logic: The label n(A) means the entire circle A. This includes the 'Only' part AND the 'Intersection'.Equation:x + 10 = 25x = 15,
Read,MATH_STUDY,Solving Unknowns,Algebra in Sets,"Case 2: The Universal Sum: Problem: Total Class = 50. Find x.Logic: If we add every region (including outside), it must equal the Total.Equation:(x) + (10) + (2x) + (5) = 503x + 15 = 50",
Read,MATH_STUDY,Solving Unknowns,Algebra in Sets,Case 3: Equal Sets: Problem: n(A) = n(B). Find x.Logic: The total count of Circle A is equal to Circle B.Equation:(x + 10) = (10 + 2x)x + 10 = 2x + 10,
Read,MATH_STUDY,Solving Unknowns,Algebra in Sets,"Case 4: The Intersection Trick: Problem: n(A)=30, n(B)=25, Total=50. Find the middle (z).Logic: Add the sets: 30 + 25 = 55.This is bigger than the Total (50) because we counted the middle twice!Formula: (A + B) - Total = Intersection.55 - 50 = 5.",
Read,MATH_STUDY,Solving Unknowns,Algebra in Sets,"Final Step: Substitution: After finding x, always read the question again!If x = 15, and the question asks for ""Set B Only"" (2x):Answer = 2(15) = 30.",
Visual Question,SET_THEORY,Survey Applications,Quest 8-001: Sports Survey,How many pupils play Football?,
Visual Question,SET_THEORY,Survey Applications,Quest 8-001: Sports Survey,How many play Volleyball only?,
Visual Question,SET_THEORY,Survey Applications,Quest 8-001: Sports Survey,How many play both?,
Visual Question,SET_THEORY,Survey Applications,Quest 8-001: Sports Survey,How many pupils play one type only?,
Visual Question,SET_THEORY,Fractions in Sets,Quest 8-002: The Reading Club,"Phase 1: Class of 40. ½ read News (20), ¼ read Comics (10). 5 read Both. Fill the diagram.",
Visual Question,SET_THEORY,Fractions in Sets,Quest 8-002: The Reading Club,Phase 2: How many read only one type of book?,
Visual Question,SET_THEORY,Intersection Formula,Quest 8-003: Book Club,Total = 50. Everyone reads. Find x (Both).,
Visual Question,SET_THEORY,Intersection Formula,Quest 8-003: Book Club,How many read Fiction ONLY?,
Visual Question,SET_THEORY,Relative Algebra,Quest 8-004: Hockey & Rugby,Phase 1: Rugby Only is 5 more than both. Neither is 5.,
Visual Question,SET_THEORY,Relative Algebra,Quest 8-004: Hockey & Rugby,Phase 2: Total pupils = 65. Find x.,
Visual Question,SET_THEORY,Relative Algebra,Quest 8-004: Hockey & Rugby,Find total playing Rugby.,
Visual Question,SET_THEORY,Difference of Sets,Quest 8-005: Science Project,"Phase 1: P=30, B=25, Both=10. Fill Only regions.",
Visual Question,SET_THEORY,Difference of Sets,Quest 8-005: Science Project,Phase 2: Total = 50. Find k (Neither).,
Visual Question,SET_THEORY,Difference of Sets,Quest 8-005: Science Project,Find n(P - B) (Physics Only).,
Visual Question,SET_THEORY,Ratio Word Problems,Quest 8-006: Farm Ratios,"Total=40. G=2x, C=x. Both=5, Neither=5. Find x.",
Visual Question,SET_THEORY,Ratio Word Problems,Quest 8-006: Farm Ratios,How many have Cows?,
Visual Question,SET_THEORY,Algebraic Word Problems,Quest 8-007: Sports Algebra,Phase 1: n(F)=25. V-only equals Both (x). Neither is 5.,
Visual Question,SET_THEORY,Algebraic Word Problems,Quest 8-007: Sports Algebra,Phase 2: Total students = 40. Find x.,
Visual Question,SET_THEORY,Algebraic Word Problems,Quest 8-007: Sports Algebra,Find Total Volleyball players.,
Visual Question,SET_THEORY,Ratio Problems,Quest 8-008: Debate Club,Phase 1: S-only is 3x. D-only is 2x. Both is x.,
Visual Question,SET_THEORY,Ratio Problems,Quest 8-008: Debate Club,Phase 2: Total students = 60. Find x.,
Visual Question,SET_THEORY,Ratio Problems,Quest 8-008: Debate Club,Find Total Speakers n(S).,
Visual Question,SET_THEORY,Logic Applications,Quest 8-009: Voting,"A=60, B=50, Both=20, Invalid=10. Fill diagram.",
Visual Question,SET_THEORY,Logic Applications,Quest 8-009: Voting,How many did NOT vote for A?,
Visual Question,SET_THEORY,Application of Sets,Quest 8-010: Music Fest,Total=100. Neither=10. Find x (Both).,
Visual Question,SET_THEORY,Application of Sets,Quest 8-010: Music Fest,How many like only one type of music?,
Visual Question,SET_THEORY,Medical Sets,Quest 8-011: Clinic Logic,Total = 50. Find x (Both).,
Visual Question,SET_THEORY,Medical Sets,Quest 8-011: Clinic Logic,How many have Malaria Only?,
Visual Question,SET_THEORY,Overlap Logic,Quest 8-012: The Debate,Total=100. Neither=5. Find x (Both).,
Visual Question,SET_THEORY,Ratio Logic,Quest 8-013: Science Ratios,Total=80. P-only is twice C-only (x). Both=10. Outside=10.,
Visual Question,SET_THEORY,Ratio Logic,Quest 8-013: Science Ratios,Find Total Physics Students.,
Visual Question,SET_THEORY,Word Problems,Quest 8-014: Drink Survey,Total=80. Outside is 2x. Find x (Both).,
Visual Question,SET_THEORY,Word Problems,Quest 8-014: Drink Survey,How many drink Neither?,
Visual Question,SET_THEORY,Algebraic Difference,Quest 8-015: Sports Diff,Total=60. n(F)=40. R-only=x. Outside=x+10. Find x.,
Visual Question,SET_THEORY,Logic,Quest 8-016: Party Invite,How many guests took at least one item?,
Visual Question,SET_THEORY,Logic,Quest 8-016: Party Invite,How many guests in Total?,
Visual Question,SET_THEORY,Visual Sums,Quest 8-024: Click to Sum,Tap regions to find total Mathematics (M).,
Visual Question,SET_THEORY,Visual Sums,Quest 8-024: Click to Sum,Tap regions representing Not Mathematics.,
Visual Question,SET_THEORY,Visual Calculation,Quest 8-024: Visual Sums,Tap regions to find total Mathematics (M).,
Visual Question,SET_THEORY,Visual Calculation,Quest 8-024: Visual Sums,Tap regions representing Not Mathematics.,
Visual Question,SET_THEORY,Visual Calculation,Quest 8-024: Visual Sums,Tap regions to find probability of Either subject.,
Visual Question,SET_THEORY,Visual Sums,Quest 8-027: Visual Market,Tap the regions representing shoppers who bought Only One item.,
Visual Question,SET_THEORY,Visual Sums,Quest 8-027: Visual Market,Tap regions representing shoppers who did NOT buy Rice.,
Visual Question,SET_THEORY,Visual Totals,Quest 8-028: Exam Clicks,Tap regions to find Total Math students.,
Visual Question,SET_THEORY,Visual Totals,Quest 8-028: Exam Clicks,Tap everyone who passed at least one subject.,
Visual Question,SET_THEORY,Intersection Clicks,Quest 8-029: Fruit Clicks,Tap the region for fruits that are Both Mango and Orange.,
Visual Question,SET_THEORY,Intersection Clicks,Quest 8-029: Fruit Clicks,Tap all regions containing Oranges.,
Read,MATH_STUDY,Applications,Word Problems in Sets,"From Words to Diagrams: In exams, Set Theory is often hidden inside stories about sports, food, or books.Let's learn the secret language of these word problems.",
Read,MATH_STUDY,Applications,Word Problems in Sets,1. 'Only One Item': Question: How many guests took only one item?Logic: This means people who took Tea Only OR Cake Only.20 + 10 = 30 guests.,
Read,MATH_STUDY,Applications,Word Problems in Sets,2. 'At Least One': Question: How many took at least one item?Logic: This implies the Union. It means 'Anyone who took anything'.20 + 15 + 10 = 45 guests.,
Read,MATH_STUDY,Applications,Word Problems in Sets,3. 'Neither' or 'None': Question: How many guests took neither?Logic: This is the region outside the circles but inside the Universal box.Answer = 5 guests.,
Read,MATH_STUDY,Applications,Word Problems in Sets,4. Probability: Question: What is the probability a guest took Both?Step 1: Find Total Guests. (20+15+10+5 = 50)Step 2: Find 'Both'. (15)Probability = 15/50.,
Visual Question,SET_THEORY,Universal Sets & Complements,Quest 9-001: The Universal Box,"Drag numbers to correct places. Don't forget the Universal Set!F={1,2,3,6}, T={3,6,9,12,15}",
Visual Question,SET_THEORY,Universal Sets & Complements,Quest 9-001: The Universal Box,List members of Intersection F ∩ T.,
Visual Question,SET_THEORY,Universal Sets & Complements,Quest 9-001: The Universal Box,List members of (F ∪ T)' (Complement).,
Visual Question,SET_THEORY,Finding Complements,Quest 9-002: Science Lab,Phase 1: Both is 5. Fill Only regions.,
Visual Question,SET_THEORY,Finding Complements,Quest 9-002: Science Lab,Phase 2: Total = 40. Find y (Neither).,
Visual Question,SET_THEORY,Complements,Quest 9-003: Debate Team,Phase 1: Both is 10. Outside is y. Fill Only regions.,
Visual Question,SET_THEORY,Complements,Quest 9-003: Debate Team,Phase 2: Total = 50. Find y (Neither).,
Visual Question,SET_THEORY,Probability,Quest 9-004: Sports Prob,Total = 100. Find x (Both).,
Visual Question,SET_THEORY,Probability,Quest 9-004: Sports Prob,Probability of playing Golf Only?,
Visual Question,SET_THEORY,Finding Complements,Quest 9-005: Library Books,Phase 1: Both is 10. Outside is y. Fill 'Only' regions.,
Visual Question,SET_THEORY,Finding Complements,Quest 9-005: Library Books,Phase 2: Total = 50. Find y (Neither).,
Visual Question,SET_THEORY,Difference of Sets,Quest 9-006: The Garden,Phase 1: M-only is x+5. B-only is x+10. Both is x.,
Visual Question,SET_THEORY,Difference of Sets,Quest 9-006: The Garden,Phase 2: Total gardeners = 45. Find x.,
Visual Question,SET_THEORY,Difference of Sets,Quest 9-006: The Garden,How many grow Maize Only?,
Visual Question,SET_THEORY,Set Difference,Quest 9-007: Science Test,Total Math = 25. Find x.,
Visual Question,SET_THEORY,Set Difference,Quest 9-007: Science Test,How many passed Math ONLY?,
Visual Question,SET_THEORY,Finding Complements,Quest 9-008: Book Fair,Total Fiction = 25. Find x.,
Visual Question,SET_THEORY,Finding Complements,Quest 9-008: Book Fair,Find n(F') (Not Fiction).,
Visual Question,SET_THEORY,Voting Probability,Quest 9-009: Election Day,"Phase 1: Both is 10. Fill Only regions. (A=40, B=30)",
Visual Question,SET_THEORY,Voting Probability,Quest 9-009: Election Day,Phase 2: Total = 80. Find y (Invalid Votes).,
Visual Question,SET_THEORY,Voting Probability,Quest 9-009: Election Day,Probability of an Invalid Vote?,
Visual Question,SET_THEORY,Complement Algebra,Quest 9-010: Party Drinks,"If n(S ∩ W)' = 32 (Not Both), find x.",
Visual Question,SET_THEORY,Complement Algebra,Quest 9-010: Party Drinks,How many guests attended altogether?,
Visual Question,SET_THEORY,Complement Algebra,Quest 9-010: Party Drinks,How many did NOT take Soda?,
Visual Question,SET_THEORY,Finding Complements,Quest 9-011: Transport,Phase 1: Both=5. Outside=x. Fill Only regions.,
Visual Question,SET_THEORY,Finding Complements,Quest 9-011: Transport,Phase 2: Total=60. Find x.,
Visual Question,SET_THEORY,Finding Complements,Quest 9-011: Transport,How many do NOT take the Bus?,
Visual Question,SET_THEORY,Complement Logic,Quest 9-013: Lunch Logic,Total=50. Neither=10. Find x (Both).,
Visual Question,SET_THEORY,Finding Complements,Quest 9-014: Music Class,"Phase 1: P=25, V=10, Both=5. Fill Only regions.",
Visual Question,SET_THEORY,Finding Complements,Quest 9-014: Music Class,Phase 2: Total=50. Find x (Neither).,
Visual Question,SET_THEORY,Complement Logic,Quest 9-015: Exam Results,Total=50. Neither=5. Find x (Both).,
Visual Question,SET_THEORY,Complement Logic,Quest 9-015: Exam Results,How many passed exactly one subject?,
Visual Question,SET_THEORY,Total & Complements,Quest 9-016: Market Data,Find the Total Number of people.,
Visual Question,SET_THEORY,Total & Complements,Quest 9-016: Market Data,Find n(A ∩ B)'.,
Visual Question,SET_THEORY,De Morgan Law,Quest 9-017: Complements,List elements of (A ∪ B)'.,
Visual Question,SET_THEORY,De Morgan Law,Quest 9-017: Complements,Find n(A' ∩ B').,
Visual Question,SET_THEORY,Complement Construction,Quest 9-019: Party Build,Phase 1: Build It• J-only: 15 &nbsp; • W-only: 10• Both: 5 &nbsp; • Outside: p,
Visual Question,SET_THEORY,Complement Construction,Quest 9-019: Party Build,Phase 2: Total=40. Find p.,
Visual Question,SET_THEORY,Finding Neither,Quest 9-022: Library Data,Phase 1: Both is 20. Outside is k. Fill Only regions.,
Visual Question,SET_THEORY,Finding Neither,Quest 9-022: Library Data,Phase 2: Total = 60. Find k (Neither).,
Visual Question,SET_THEORY,Finding Neither,Quest 9-022: Library Data,How many do NOT read Books?,
Visual Question,SET_THEORY,Not Set A,Quest 9-023: Not A,Total=50. Neither=5. Find x (Both).,
Visual Question,SET_THEORY,Not Set A,Quest 9-023: Not A,Find n(A') (Not A).,
Visual Question,SET_THEORY,Finding Complement,Quest 9-024: Missing Group,Total=80. Intersection=15. Find y (Neither).,
Visual Question,SET_THEORY,Complement Algebra,Quest 9-025: Travel Plans,"Phase 1: USA(30), UK(25), Both(5). Fill Only regions.",
Visual Question,SET_THEORY,Complement Algebra,Quest 9-025: Travel Plans,Phase 2: Total=60. Find y (Neither).,
Visual Question,SET_THEORY,Visual Complements,Quest 9-026: Food Clicks,Tap regions representing people who did NOT eat Pizza.,
Visual Question,SET_THEORY,Visual Complements,Quest 9-026: Food Clicks,Tap regions representing people who did NOT eat Burgers.,
Visual Question,SET_THEORY,Outside Logic,Quest 9-027: Sports Clicks,Tap the region for people who play Neither sport.,
Visual Question,SET_THEORY,Outside Logic,Quest 9-027: Sports Clicks,Tap everyone who plays a sport.,
Read,MATH_STUDY,Complements,Understanding 'Not',What is a Complement?: The Complement of Set A (written A') means everything that is NOT in Circle A.Imagine covering Circle A with your hand. What is left?,
Read,MATH_STUDY,Complements,Understanding 'Not',"Case 1: The Visual Test: Question: Identify regions for ""Not Pizza"".Logic: We must exclude the Pizza Circle completely.This leaves: Burger Only + Neither.",
Read,MATH_STUDY,Complements,Understanding 'Not',Case 2: Finding 'Neither': Problem: Total = 50. Find y (Neither).Logic: The Universal Set contains EVERYTHING.Left + Mid + Right + Outside = Total.Equation:15 + 10 + 10 + y = 5035 + y = 50y = 15,
Read,MATH_STUDY,Complements,Understanding 'Not',"Case 3: 'Not Both': Question: ""n(S ∩ W)' = 32"". What does this mean?Logic: It means the Complement of the Intersection.Everything EXCEPT the middle.So, (Left + Right + Outside) = 32.",
Read,MATH_STUDY,Complements,Understanding 'Not',"Solving Case 3: If Total = 42, and 'Not Both' = 32, we can find the Middle easily.Shortcut: Total - Not Both = Both.42 - 32 = 10.",
Visual Question,SET_THEORY,Probability using Venn Diagrams,Topic 10: Probability Master,Total farmers = 60. Find x.,
Visual Question,SET_THEORY,Probability using Venn Diagrams,Topic 10: Probability Master,How many keep Goats ONLY?,
Visual Question,SET_THEORY,Probability using Venn Diagrams,Topic 10: Probability Master,What is the probability of choosing a farmer with Goats Only?,
Visual Question,SET_THEORY,Probability II,Topic 10: School Subjects,Phase 1: 5 pupils learn neither subject. Fill the diagram.,
Visual Question,SET_THEORY,Probability II,Topic 10: School Subjects,Phase 2: Total pupils = 50. Find x.,
Visual Question,SET_THEORY,Probability II,Topic 10: School Subjects,Probability of choosing a pupil who studies Science Only?,
Visual Question,SET_THEORY,Party Drinks,Topic 10: Party Drinks,Phase 1: 2 guests drink neither. Fill the diagram.,
Visual Question,SET_THEORY,Party Drinks,Topic 10: Party Drinks,Phase 2: Total guests = 40. Find x.,
Visual Question,SET_THEORY,Party Drinks,Topic 10: Party Drinks,How many drink one type only?,
Visual Question,SET_THEORY,Probability III,Topic 10: Language Village,Phase 1: 15 pupils speak neither. Fill the diagram.,
Visual Question,SET_THEORY,Probability III,Topic 10: Language Village,Phase 2: Total pupils = 80. Find x.,
Visual Question,SET_THEORY,Probability III,Topic 10: Language Village,Probability of choosing a pupil who speaks BOTH?,
Visual Question,SET_THEORY,Probability,Topic 10: Pet Owners,Total families = 50. Find x.,
Visual Question,SET_THEORY,Probability,Topic 10: Pet Owners,How many families have Neither?,
Visual Question,SET_THEORY,Probability,Topic 10: Pet Owners,What is the probability of picking a family with No Pets?,
Visual Question,SET_THEORY,Symmetric Difference Algebra,Topic 10: Sports Selection,Phase 1: Netball only is w+10. Neither is w. Fill the diagram.,
Visual Question,SET_THEORY,Symmetric Difference Algebra,Topic 10: Sports Selection,Phase 2: Total pupils = 60. Find w.,
Visual Question,SET_THEORY,Symmetric Difference Algebra,Topic 10: Sports Selection,How many play Netball Only?,
Visual Question,SET_THEORY,Algebraic Sets,Quest 10-005: Music Class,Phase 1: n(P)=25. Guitar only is x+5. 5 play neither. Fill diagram.,
Visual Question,SET_THEORY,Algebraic Sets,Quest 10-005: Music Class,Phase 2: Total students = 50. Find x.,
Visual Question,SET_THEORY,Algebraic Sets,Quest 10-005: Music Class,How many play Guitar Only?,
Visual Question,SET_THEORY,Algebraic Ratios,Quest 10-006: Farming Ratios,Phase 1: Beans only is 2y. 10 grow neither. Fill diagram.,
Visual Question,SET_THEORY,Algebraic Ratios,Quest 10-006: Farming Ratios,Phase 2: Total farmers = 80. Find y.,
Visual Question,SET_THEORY,Algebraic Ratios,Quest 10-006: Farming Ratios,Find total growing Beans n(B).,
Visual Question,SET_THEORY,Algebraic Complements,Quest 10-007: Reading List,Phase 1: Neither is k+2. N-only is 2k. B-only is k.,
Visual Question,SET_THEORY,Algebraic Complements,Quest 10-007: Reading List,Phase 2: Total people = 60. Find k.,
Visual Question,SET_THEORY,Algebraic Complements,Quest 10-007: Reading List,Probability of reading Neither?,
Visual Question,SET_THEORY,Full Algebra,Quest 10-008: Party Time,Phase 1: S only is p+5. Both is p. W only is p+10.,
Visual Question,SET_THEORY,Full Algebra,Quest 10-008: Party Time,Phase 2: Total guests = 45. Find p.,
Visual Question,SET_THEORY,Full Algebra,Quest 10-008: Party Time,How many drink only one type?,
Visual Question,SET_THEORY,Agricultural Sets,Topic 10: Crop Farming,Phase 1: P only is 2k. Neither is k. Fill the diagram.,
Visual Question,SET_THEORY,Agricultural Sets,Topic 10: Crop Farming,Phase 2: Total farmers = 80. Find k.,
Visual Question,SET_THEORY,Agricultural Sets,Topic 10: Crop Farming,How many farmers did not grow Peas (P)?,
Visual Question,SET_THEORY,Algebraic Ratios,Quest 10: The Pet Shop,Phase 1: Cats only is 2x. Dogs only is x+10. Fill the diagram.,
Visual Question,SET_THEORY,Algebraic Ratios,Quest 10: The Pet Shop,Phase 2: Total pets = 50. Find x.,
Visual Question,SET_THEORY,Algebraic Ratios,Quest 10: The Pet Shop,How many Dogs are there in total?,
Visual Question,SET_THEORY,Solving for Intersection,Quest 10: Fruit Market,"Phase 1: 20 sell Apples only, 25 Bananas only. Intersection and Outside are both y.",
Visual Question,SET_THEORY,Solving for Intersection,Quest 10: Fruit Market,Phase 2: Total farmers = 65. Find y.,
Visual Question,SET_THEORY,Solving for Intersection,Quest 10: Fruit Market,What is the Probability a farmer sells BOTH?,
Visual Question,SET_THEORY,Symmetric Difference,Quest 10: Talent Show,Phase 1: S only is x+5. 10 do both. Outside is 5. Fill it.,
Visual Question,SET_THEORY,Symmetric Difference,Quest 10: Talent Show,Phase 2: Total students = 50. Find x.,
