qid,term,topic,subtopic,difficulty,questiontype,parentid,orderinparent,questiontext,optiona,optionb,optionc,optiond,correctanswer,hint,detailedsolution,imagelocation,tags,enginetypesim,modesim,filepathsim,filenamesim
SCI-P7-T1-00228,T1,Musculo-Skeletal System,appendicular_limbs,M,MCQ,null,null,Which bone in the arm is classified as a long bone?,Carpal,Scapula,Humerus,Patella,Option_C,It's located in the upper arm.,The humerus is one of the three principal long bones of the arm.,,"[""P7"",""Science"",""Humerus""]",,,,
SCI-P7-T1-00229,T1,Musculo-Skeletal System,appendicular_limbs,E,MCQ,null,null,How many long bones are found in each human arm?,One,Two,Three,Five,Option_C,"Upper arm has one, forearm has two.","Each arm has 3 long bones: humerus, radius, and ulna.",,"[""P7"",""Science"",""Arm""]",,,,
SCI-P7-T1-00230,T1,Musculo-Skeletal System,appendicular_limbs,M,MCQ,null,null,"In the forearm, which bone is located on the side of the thumb?",Ulna,Radius,Tibia,Fibula,Option_B,Think of a 'radio' dial being turned by the thumb.,The radius is the forearm bone on the thumb side.,,"[""P7"",""Science"",""Radius""]",,,,
SCI-P7-T1-00231,T1,Musculo-Skeletal System,appendicular_limbs,M,MCQ,null,null,"In the forearm, which bone is located on the side of the little finger?",Radius,Ulna,Humerus,Femur,Option_B,It's the partner to the radius.,The ulna is the forearm bone on the side opposite the thumb.,,"[""P7"",""Science"",""Ulna""]",,,,
SCI-P7-T1-00232,T1,Musculo-Skeletal System,appendicular_limbs,E,MCQ,null,null,Where are the carpals found in the human body?,In the ankle,In the wrist,In the knee,In the neck,Option_B,Think of 'carpal tunnel' syndrome.,Carpals are the short bones that make up the wrist.,,"[""P7"",""Science"",""Carpals""]",,,,
SCI-P7-T1-00233,T1,Musculo-Skeletal System,appendicular_limbs,H,MCQ,null,null,How many carpals are usually found in one human wrist?,5,14,8,7,Option_C,It's a group of small bones.,There are 8 carpal bones in each wrist.,,"[""P7"",""Science"",""Carpals""]",,,,
SCI-P7-T1-00234,T1,Musculo-Skeletal System,appendicular_limbs,M,MCQ,null,null,Which bones form the palm of the hand?,Carpals,Metacarpals,Tarsals,Phalanges,Option_B,'Meta' means beyond the wrist.,The metacarpals are the 5 bones that form the palm.,,"[""P7"",""Science"",""Hand""]",,,,
SCI-P7-T1-00235,T1,Musculo-Skeletal System,appendicular_limbs,E,MCQ,null,null,What is the name for the bones that make up the fingers and toes?,Phalanges,Carpals,Tarsals,Metacarpals,Option_A,It's a long word starting with P.,Phalanges are the bones of the digits (fingers and toes).,,"[""P7"",""Science"",""Phalanges""]",,,,
SCI-P7-T1-00236,T1,Musculo-Skeletal System,appendicular_limbs,H,MCQ,null,null,How many phalanges are found in one hand?,5,8,14,10,Option_C,"Three per finger, two for the thumb.",Each hand has 14 phalanges (finger bones).,,"[""P7"",""Science"",""Phalanges""]",,,,
SCI-P7-T1-00237,T1,Musculo-Skeletal System,appendicular_limbs,E,MCQ,null,null,What is the longest and strongest bone in the human body?,Humerus,Tibia,Femur,Spine,Option_C,It is your thigh bone.,"The femur is the longest, strongest, and heaviest bone in the body.",,"[""P7"",""Science"",""Femur""]",,,,
SCI-P7-T1-00238,T1,Musculo-Skeletal System,appendicular_limbs,E,MCQ,null,null,What is the common name for the patella?,Shin bone,Knee cap,Ankle bone,Elbow,Option_B,It protects the front of the knee.,The patella is the bone commonly known as the knee cap.,,"[""P7"",""Science"",""Patella""]",,,,
SCI-P7-T1-00239,T1,Musculo-Skeletal System,appendicular_limbs,M,MCQ,null,null,Which bone is known as the shin bone?,Fibula,Femur,Tibia,Radius,Option_C,It's the larger bone of the lower leg.,"The tibia is the main weight-bearing bone of the lower leg, often called the shin bone.",,"[""P7"",""Science"",""Tibia""]",,,,
SCI-P7-T1-00240,T1,Musculo-Skeletal System,appendicular_limbs,M,MCQ,null,null,Which bone is found alongside the tibia in the lower leg?,Humerus,Radius,Fibula,Ulna,Option_C,It's the thinner bone of the leg.,The fibula is the smaller bone located on the outer side of the lower leg.,,"[""P7"",""Science"",""Fibula""]",,,,
SCI-P7-T1-00241,T1,Musculo-Skeletal System,appendicular_limbs,E,MCQ,null,null,Where are the tarsals located?,In the wrist,In the ankle,In the shoulder,In the hip,Option_B,They rhyme with carpals but are in the foot.,Tarsals are the bones that make up the ankle.,,"[""P7"",""Science"",""Tarsals""]",,,,
SCI-P7-T1-00242,T1,Musculo-Skeletal System,appendicular_limbs,H,MCQ,null,null,How many tarsal bones are found in one human ankle according to the notes?,5,8,14,7,Option_B,Check the limb section of the notes.,The notes state there are 8 tarsal (ankle) bones in each limb.,,"[""P7"",""Science"",""Tarsals""]",,,,
SCI-P7-T1-00243,T1,Musculo-Skeletal System,appendicular_limbs,M,MCQ,null,null,Which bones form the main part (arch) of the foot?,Carpals,Metatarsals,Metacarpals,Phalanges,Option_B,They are 'beyond' the tarsals.,The 5 metatarsals form the structure of the foot.,,"[""P7"",""Science"",""Foot""]",,,,
SCI-P7-T1-00244,T1,Musculo-Skeletal System,appendicular_limbs,H,MCQ,null,null,How many phalanges are found in one human foot (toes)?,5,10,14,7,Option_C,It's the same number as the fingers.,There are 14 phalanges (toe bones) in each foot.,,"[""P7"",""Science"",""Phalanges""]",,,,
SCI-P7-T1-00245,T1,Musculo-Skeletal System,appendicular_limbs,M,MCQ,null,null,The pelvic girdle is created by the fusion of how many bones?,Two,Three,Five,One,Option_B,"Ilium, Ischium, and Pubis.","The pelvis is formed by the fusion of three bones: ilium, ischium, and pubis.",,"[""P7"",""Science"",""Pelvis""]",,,,
SCI-P7-T1-00246,T1,Musculo-Skeletal System,appendicular_limbs,H,MCQ,null,null,Which bone of the pelvic girdle is the uppermost and largest?,Ischium,Pubis,Ilium,Coccyx,Option_C,It's the 'hip blade' part.,"The ilium is the large, wing-shaped bone of the pelvis.",,"[""P7"",""Science"",""Pelvis""]",,,,
SCI-P7-T1-00247,T1,Musculo-Skeletal System,appendicular_limbs,E,MCQ,null,null,The main function of the appendicular skeleton is?,To protect the brain,To facilitate movement and locomotion,To protect the lungs,To pump blood,Option_B,Think about what legs and arms do.,The appendicular skeleton allows us to move and interact with our environment.,,"[""P7"",""Science"",""Functions""]",,,,
SCI-P7-T1-00248,T1,Musculo-Skeletal System,appendicular_limbs,M,MCQ,null,null,Which type of bones are carpals and tarsals classified as?,Long bones,Short bones,Flat bones,Irregular bones,Option_B,They are small and cube-shaped.,Carpals and tarsals are categorized as short bones.,,"[""P7"",""Science"",""Bones""]",,,,
SCI-P7-T1-00249,T1,Musculo-Skeletal System,appendicular_limbs,H,MCQ,null,null,In which part of the long bones are white blood cells manufactured?,Hard bone,Cartilage,Yellow bone marrow,Red bone marrow,Option_C,Check the 'Classifications of bones' section.,Yellow bone marrow in long bones is responsible for producing white blood cells.,,"[""P7"",""Science"",""Marrow""]",,,,
SCI-P7-T1-00250,T1,Musculo-Skeletal System,appendicular_limbs,M,MCQ,null,null,The head of the femur fits into a socket in which structure?,The shoulder,The knee,The pelvic girdle,The spine,Option_C,It forms the hip joint.,The femur articulates with the pelvic girdle to form the hip joint.,,"[""P7"",""Science"",""Joints""]",,,,
SCI-P7-T1-00251,T1,Musculo-Skeletal System,appendicular_limbs,M,MCQ,null,null,What is the common name for the humerus?,Shin bone,Thigh bone,Upper arm bone,Funny bone,Option_C,It's the bone between the shoulder and elbow.,The humerus is the single long bone of the upper arm.,,"[""P7"",""Science"",""Humerus""]",,,,
SCI-P7-T1-00252,T1,Musculo-Skeletal System,appendicular_limbs,E,MCQ,null,null,Which bone is part of the pectoral girdle?,Femur,Clavicle,Tibia,Patella,Option_B,It's the collar bone.,The pectoral girdle is made of the scapula and the clavicle.,,"[""P7"",""Science"",""Pectoral""]",,,,
SCI-P7-T1-00253,T1,Musculo-Skeletal System,appendicular_limbs,M,MCQ,null,null,The forearm is made up of how many bones?,1,2,3,4,Option_B,Radius and Ulna.,There are two bones in the forearm: the radius and the ulna.,,"[""P7"",""Science"",""Arm""]",,,,
SCI-P7-T1-00254,T1,Musculo-Skeletal System,appendicular_limbs,H,MCQ,null,null,How many bones make up one entire upper limb (including girdles)?,20,32,25,15,Option_B,"1 scapula, 1 clavicle, 1 humerus, 1 radius, 1 ulna, 8 carpals, 5 metacarpals, 14 phalanges.",One arm and its girdle components total 32 bones.,,"[""P7"",""Science"",""Anatomy""]",,,,
SCI-P7-T1-00255,T1,Musculo-Skeletal System,appendicular_limbs,M,MCQ,null,null,Which bone acts as a pivot for the rotation of the forearm?,Ulna,Radius,Humerus,Scapula,Option_B,It's on the thumb side.,The radius allows for the rotating motion of the hand and forearm.,,"[""P7"",""Science"",""Radius""]",,,,
SCI-P7-T1-00256,T1,Musculo-Skeletal System,appendicular_limbs,E,MCQ,null,null,The thigh bone is scientifically called the?,Tibia,Fibula,Femur,Humerus,Option_C,It's the largest bone.,The femur is the scientific name for the thigh bone.,,"[""P7"",""Science"",""Femur""]",,,,
SCI-P7-T1-00257,T1,Musculo-Skeletal System,appendicular_limbs,M,MCQ,null,null,Which bone is the largest in the lower leg?,Fibula,Patella,Tibia,Femur,Option_C,It's the shin bone.,The tibia is larger and carries more weight than the fibula.,,"[""P7"",""Science"",""Tibia""]",,,,
SCI-P7-T1-00258,T1,Musculo-Skeletal System,appendicular_limbs,H,MCQ,null,null,How many bones are in the pelvic girdle?,1,3,2,5,Option_B,"Ilium, Ischium, Pubis.",The pelvic girdle consists of three fused bones.,,"[""P7"",""Science"",""Pelvis""]",,,,
SCI-P7-T1-00259,T1,Musculo-Skeletal System,appendicular_limbs,M,MCQ,null,null,What is the function of the patella?,To help we see,To protect the knee joint,To make blood,To store fat,Option_B,It's the 'cap' over your knee.,The patella protects the knee joint and assists in leg extension.,,"[""P7"",""Science"",""Patella""]",,,,
SCI-P7-T1-00260,T1,Musculo-Skeletal System,appendicular_limbs,H,MCQ,null,null,Which bones produce red blood cells according to some P.7 notes?,Long bones,Short bones,Flat bones,Irregular bones,Option_B,Check the 'Classifications' lesson 2 section.,Notes mention red blood cells are manufactured in the red bone marrow of short bones.,,"[""P7"",""Science"",""Blood Cells""]",,,,
SCI-P7-T1-00261,T1,Musculo-Skeletal System,appendicular_limbs,E,MCQ,null,null,The bones of the wrist are collectively called?,Tarsals,Carpals,Phalanges,Girdles,Option_B,Think of a 'car'.,The wrist bones are called carpals.,,"[""P7"",""Science"",""Carpals""]",,,,
SCI-P7-T1-00262,T1,Musculo-Skeletal System,appendicular_limbs,M,MCQ,null,null,How many metacarpals are in one hand?,8,14,5,7,Option_C,One for each finger/thumb.,There are 5 metacarpal bones in the palm of the hand.,,"[""P7"",""Science"",""Hand""]",,,,
SCI-P7-T1-00263,T1,Musculo-Skeletal System,appendicular_limbs,M,MCQ,null,null,The bones of the toes are called?,Phalanges,Carpals,Tarsals,Sternum,Option_A,Same name as finger bones.,Toe bones are called phalanges.,,"[""P7"",""Science"",""Phalanges""]",,,,
SCI-P7-T1-00264,T1,Musculo-Skeletal System,appendicular_limbs,H,MCQ,null,null,Which bone is the thinnest in the lower leg?,Tibia,Fibula,Femur,Patella,Option_B,It's the one next to the shin bone.,The fibula is the thin bone on the lateral side of the leg.,,"[""P7"",""Science"",""Fibula""]",,,,
SCI-P7-T1-00265,T1,Musculo-Skeletal System,appendicular_limbs,M,MCQ,null,null,What is the name of the bone that makes up the upper arm?,Radius,Ulna,Humerus,Scapula,Option_C,Rhymes with humorous.,The humerus is the bone of the upper arm.,,"[""P7"",""Science"",""Humerus""]",,,,
SCI-P7-T1-00266,T1,Musculo-Skeletal System,appendicular_limbs,E,MCQ,null,null,The shoulder joint connects which two bones?,Humerus and Scapula,Femur and Pelvis,Radius and Ulna,Tibia and Fibula,Option_A,Arm bone and shoulder blade.,The shoulder joint is formed by the humerus and the scapula.,,"[""P7"",""Science"",""Joints""]",,,,
SCI-P7-T1-00267,T1,Musculo-Skeletal System,appendicular_limbs,M,MCQ,null,null,The hip joint connects which two structures?,Humerus and Scapula,Femur and Pelvic girdle,Tibia and Patella,Radius and Carpal,Option_B,Thigh bone and hip bone.,The hip joint is where the femur meets the pelvic girdle.,,"[""P7"",""Science"",""Joints""]",,,,
SCI-P7-T1-00268,T1,Musculo-Skeletal System,appendicular_limbs,H,MCQ,null,null,Which bone is NOT part of the lower limb?,Femur,Tibia,Ulna,Fibula,Option_C,It's in the arm.,The ulna is a bone of the forearm (upper limb).,,"[""P7"",""Science"",""Anatomy""]",,,,
SCI-P7-T1-00269,T1,Musculo-Skeletal System,appendicular_limbs,E,MCQ,null,null,The bones of the ankle are called?,Carpals,Tarsals,Metacarpals,Phalanges,Option_B,Starts with T.,Ankle bones are known as tarsals.,,"[""P7"",""Science"",""Tarsals""]",,,,
SCI-P7-T1-00270,T1,Musculo-Skeletal System,appendicular_limbs,M,MCQ,null,null,How many metatarsals are in one foot?,8,14,5,7,Option_C,One for each toe.,There are 5 metatarsal bones in the foot.,,"[""P7"",""Science"",""Foot""]",,,,
SCI-P7-T1-00271,T1,Musculo-Skeletal System,appendicular_limbs,H,MCQ,null,null,Which part of the long bone contains yellow marrow?,The ends,The central cavity,The surface,The cartilage,Option_B,It's in the middle hollow part.,Yellow bone marrow is found within the central cavity of long bones.,,"[""P7"",""Science"",""Marrow""]",,,,
SCI-P7-T1-00272,T1,Musculo-Skeletal System,appendicular_limbs,M,MCQ,null,null,What do you call the 'points' where bones of the limbs meet?,Muscles,Nerves,Joints,Skin,Option_C,Where two things join.,"Joints are the places where two or more bones meet, allowing movement.",,"[""P7"",""Science"",""Joints""]",,,,
SCI-P7-T1-00273,T1,Musculo-Skeletal System,appendicular_limbs,E,MCQ,null,null,The upper arm bone is the?,Radius,Ulna,Humerus,Sternum,Option_C,Between shoulder and elbow.,The humerus is the upper arm bone.,,"[""P7"",""Science"",""Arm""]",,,,
SCI-P7-T1-00274,T1,Musculo-Skeletal System,appendicular_limbs,M,MCQ,null,null,Which bone of the leg is easiest to feel at the front?,Femur,Fibula,Tibia,Ischium,Option_C,The 'shin'.,The tibia (shin bone) is located just beneath the skin at the front of the leg.,,"[""P7"",""Science"",""Tibia""]",,,,
SCI-P7-T1-00275,T1,Musculo-Skeletal System,appendicular_limbs,H,MCQ,null,null,The pelvic girdle protects which vital organs?,Brain,Heart and Lungs,Bladder and Uterus,Eyes,Option_C,Lower abdomen area.,The pelvis protects the urinary bladder and reproductive organs.,,"[""P7"",""Science"",""Protection""]",,,,
SCI-P7-T1-00276,T1,Musculo-Skeletal System,appendicular_limbs,E,MCQ,null,null,How many total limbs does a human have?,2,4,6,8,Option_B,Arms plus legs.,A human has 4 limbs: 2 upper limbs (arms) and 2 lower limbs (legs).,,"[""P7"",""Science"",""Limbs""]",,,,
SCI-P7-T1-00277,T1,Musculo-Skeletal System,appendicular_limbs,M,MCQ,null,null,Which bone is located in the thigh?,Humerus,Femur,Tibia,Radius,Option_B,It's the biggest bone.,The femur is the bone of the thigh.,,"[""P7"",""Science"",""Femur""]",,,,
SCI-P7-T1-00278,T1,Musculo-Skeletal System,appendicular_limbs,H,MCQ,null,null,"According to the notes, which marrow produces red blood cells?",Yellow marrow,Red marrow,White marrow,Black marrow,Option_B,Red cells from red marrow.,"Red bone marrow, found in short bones, produces red blood cells.",,"[""P7"",""Science"",""Blood Cells""]",,,,
SCI-P7-T1-00279,T1,Musculo-Skeletal System,appendicular_limbs,M,MCQ,null,null,Which bone is part of the shoulder?,Patella,Sacrum,Scapula,Mandible,Option_C,The shoulder blade.,The scapula is a bone that forms part of the shoulder.,,"[""P7"",""Science"",""Shoulder""]",,,,
SCI-P7-T1-00280,T1,Musculo-Skeletal System,appendicular_limbs,E,MCQ,null,null,The appendicular skeleton is vital for which activity?,Thinking,Breathing,Walking and Running,Digesting,Option_C,Movement of legs and arms.,The appendicular skeleton is essential for locomotion and performing physical tasks.,,"[""P7"",""Science"",""Functions""]",,,,
SCI-P7-T1-00281,T1,Musculo-Skeletal System,bone_structure,E,MCQ,null,null,What is a bone?,A soft muscle,The hardest tissue in the body,A type of skin,A liquid support,Option_B,It provides the strongest support.,A bone is the hardest tissue found in the body of an animal.,,"[""P7"",""Science"",""Bone Structure""]",,,,
SCI-P7-T1-00282,T1,Musculo-Skeletal System,bone_structure,E,MCQ,null,null,Which two mineral salts make bones strong and hard?,Sodium and Iron,Calcium and Phosphorus,Iodine and Zinc,Potassium and Magnesium,Option_B,Think of the minerals found in milk.,Bones are primarily made up of calcium and phosphorus.,,"[""P7"",""Science"",""Minerals""]",,,,
SCI-P7-T1-00283,T1,Musculo-Skeletal System,bone_structure,M,MCQ,null,null,"Why are bones considered ""living tissue""?",They can walk,They have a blood supply and nerves,They are made of water,They don't need food,Option_B,Living things need nutrients and can feel.,"Bones contain living cells, blood vessels, and nerves, making them a living tissue.",,"[""P7"",""Science"",""Living Tissue""]",,,,
SCI-P7-T1-00284,T1,Musculo-Skeletal System,bone_structure,M,MCQ,null,null,What is the name of the soft tissue found inside the central cavity of a bone?,Muscle,Cartilage,Bone marrow,Fat,Option_C,"It's the ""factory"" inside the bone.",Bone marrow is the soft tissue contained within the hollow spaces of bones.,,"[""P7"",""Science"",""Marrow""]",,,,
SCI-P7-T1-00285,T1,Musculo-Skeletal System,bone_structure,H,MCQ,null,null,What is the main function of red bone marrow?,To store fat,To produce red blood cells,To protect the brain,To make the bone hard,Option_B,The color matches the cell it produces.,Red bone marrow is responsible for the formation of most red blood cells.,,"[""P7"",""Science"",""Red Marrow""]",,,,
SCI-P7-T1-00286,T1,Musculo-Skeletal System,bone_structure,H,MCQ,null,null,Where is red bone marrow mostly found?,In the central cavity,In the pores of spongy bone,On the bone surface,In the joints,Option_B,"Think of a ""sponge"" holding liquid.",Red bone marrow is located in the porous parts of spongy bone.,,"[""P7"",""Science"",""Spongy Bone""]",,,,
SCI-P7-T1-00287,T1,Musculo-Skeletal System,bone_structure,M,MCQ,null,null,What is yellow bone marrow primarily made of?,Water,Blood,Fat,Protein,Option_C,It acts as an energy reserve.,Yellow bone marrow is mostly made up of fat cells.,,"[""P7"",""Science"",""Yellow Marrow""]",,,,
SCI-P7-T1-00288,T1,Musculo-Skeletal System,bone_structure,H,MCQ,null,null,Which type of blood cells are produced by yellow bone marrow?,Red blood cells,White blood cells,Plasma,Platelets,Option_B,These cells help fight diseases.,Yellow bone marrow is responsible for the production of white blood cells.,,"[""P7"",""Science"",""White Blood Cells""]",,,,
SCI-P7-T1-00289,T1,Musculo-Skeletal System,bone_structure,M,MCQ,null,null,In which part of the bone is yellow bone marrow found?,In the ends of the bone,In the central cavities of long bones,On the outside of the skull,In the ribs,Option_B,"It's in the long ""tunnel"" of the arm/leg bones.",Yellow bone marrow resides in the central cavities of long bones like the femur.,,"[""P7"",""Science"",""Long Bones""]",,,,
SCI-P7-T1-00290,T1,Musculo-Skeletal System,bone_structure,E,MCQ,null,null,What covers the ends of bones that move at a joint?,Skin,Hair,Cartilage,Muscle,Option_C,"It's a smooth, slippery tissue.",Cartilage covers the ends of bones to reduce friction.,,"[""P7"",""Science"",""Cartilage""]",,,,
SCI-P7-T1-00291,T1,Musculo-Skeletal System,bone_structure,M,MCQ,null,null,What is the role of cartilage at the end of a bone?,To make blood,To act as a shock absorber and reduce friction,To store calcium,To feel pain,Option_B,It's like a cushion.,Cartilage acts as a cushion to absorb shock and prevents bones from rubbing together.,,"[""P7"",""Science"",""Cartilage""]",,,,
SCI-P7-T1-00292,T1,Musculo-Skeletal System,bone_structure,H,MCQ,null,null,What can yellow marrow do if the body suffers large blood loss?,Turn into muscle,Convert to red marrow to make more red blood cells,Disappear,Turn into bone,Option_B,It helps in an emergency.,Yellow marrow can convert to red marrow to help produce more red blood cells during blood loss.,,"[""P7"",""Science"",""Marrow""]",,,,
SCI-P7-T1-00293,T1,Musculo-Skeletal System,bone_structure,M,MCQ,null,null,Which part of the bone protects the marrow from escaping?,Cartilage,Spongy bone,Hard bone,Nerves,Option_C,"It's the tough, outer shell.",The hard bone part protects the marrow and gives the bone strength.,,"[""P7"",""Science"",""Hard Bone""]",,,,
SCI-P7-T1-00294,T1,Musculo-Skeletal System,bone_structure,E,MCQ,null,null,Bones store which important mineral used for nerve and muscle function?,Iron,Calcium,Iodine,Sodium,Option_B,It's the same mineral that makes them hard.,Bones act as a storage site for calcium.,,"[""P7"",""Science"",""Calcium""]",,,,
SCI-P7-T1-00295,T1,Musculo-Skeletal System,bone_structure,M,MCQ,null,null,The porous part of the bone is called?,Hard bone,Spongy bone,Bone marrow,Joint,Option_B,It looks like a sponge with many holes.,Spongy bone is the porous part of the bone filled with marrow.,,"[""P7"",""Science"",""Spongy Bone""]",,,,
SCI-P7-T1-00296,T1,Musculo-Skeletal System,bone_structure,H,MCQ,null,null,"According to your notes, in which marrow are white blood cells produced?",Red marrow,Yellow marrow,Spongy marrow,Hard marrow,Option_B,It's found in the center of long bones.,Yellow bone marrow is responsible for production of white blood cells.,,"[""P7"",""Science"",""Yellow Marrow""]",,,,
SCI-P7-T1-00297,T1,Musculo-Skeletal System,bone_structure,M,MCQ,null,null,What happens to old blood cells in the red bone marrow?,They are stored,They are destroyed,They turn into bone,They leave the body,Option_B,The marrow recycles them.,Red bone marrow helps destroy old blood cells.,,"[""P7"",""Science"",""Red Marrow""]",,,,
SCI-P7-T1-00298,T1,Musculo-Skeletal System,bone_structure,E,MCQ,null,null,Bones are made of phosphorus and?,Salt,Calcium,Sugar,Iron,Option_B,Think of bone-building minerals.,Bones are composed of calcium and phosphorus.,,"[""P7"",""Science"",""Minerals""]",,,,
SCI-P7-T1-00299,T1,Musculo-Skeletal System,bone_structure,H,MCQ,null,null,Which part of the bone contains blood vessels that provide nourishment?,The marrow,The hard bone and periosteum,The cartilage,The joint,Option_B,Bones need food to stay alive.,Blood vessels run through the bone structure to provide nourishment to living cells.,,"[""P7"",""Science"",""Blood Supply""]",,,,
SCI-P7-T1-00300,T1,Musculo-Skeletal System,bone_structure,E,MCQ,null,null,"What does the term ""porous"" mean when describing spongy bone?",Very hard,Full of small holes,Solid like a rock,Liquid,Option_B,Like a cleaning sponge.,Porous means having minute spaces or holes through which liquid or air may pass.,,"[""P7"",""Science"",""Definitions""]",,,,
SCI-P7-T1-00301,T1,Musculo-Skeletal System,bone_structure,M,MCQ,null,null,What is the function of the hard bone?,To manufacture blood,To provide strength and protection to the marrow,To feel pain,To reduce friction,Option_B,It is the rigid part of the bone.,The hard bone part protects the marrow and provides structural strength.,,"[""P7"",""Science"",""Hard Bone""]",,,,
SCI-P7-T1-00302,T1,Musculo-Skeletal System,bone_structure,H,MCQ,null,null,Where specifically are red blood cells manufactured in short bones?,Yellow marrow,Red marrow,Cartilage,On the surface,Option_B,Check the classification notes for short bones.,Red blood cells are manufactured in the red bone marrow of short bones.,,"[""P7"",""Science"",""Short Bones""]",,,,
SCI-P7-T1-00303,T1,Musculo-Skeletal System,bone_structure,M,MCQ,null,null,Cartilage acts as a cushion to absorb?,Water,Food,Friction and shock,Blood,Option_C,It helps when you jump or run.,Cartilage absorbs shock and prevents frictional damage between bones.,,"[""P7"",""Science"",""Cartilage""]",,,,
SCI-P7-T1-00304,T1,Musculo-Skeletal System,bone_structure,H,MCQ,null,null,Which part of the bone is filled with red bone marrow?,Hard bone,Cartilage,Spongy bone,Nerves,Option_C,It's the part at the ends of the bone.,Spongy bone is the porous part filled with red bone marrow.,,"[""P7"",""Science"",""Spongy Bone""]",,,,
SCI-P7-T1-00305,T1,Musculo-Skeletal System,bone_structure,E,MCQ,null,null,What is the main substance stored in bones to be released when blood levels drop too low?,Iron,Glucose,Calcium,Oxygen,Option_C,"Bones act as a ""bank"" for this.",Calcium is released by bones when blood levels of calcium drop too low.,,"[""P7"",""Science"",""Minerals""]",,,,
SCI-P7-T1-00306,T1,Musculo-Skeletal System,bone_structure,M,MCQ,null,null,How do bones contribute to the immune system?,By making skin,By producing white blood cells,By storing fat,By digesting bacteria,Option_B,White blood cells are the body's soldiers.,"Bones produce white blood cells in the yellow marrow, which help fight infection.",,"[""P7"",""Science"",""Functions""]",,,,
SCI-P7-T1-00307,T1,Musculo-Skeletal System,bone_structure,H,MCQ,null,null,"In long bones, where is the yellow bone marrow located?",At the very ends,In the central cavity (shaft),On the skin of the bone,Inside the cartilage,Option_B,It's the long tube-like center.,Yellow marrow resides in the central cavity of the shaft of long bones.,,"[""P7"",""Science"",""Yellow Marrow""]",,,,
SCI-P7-T1-00308,T1,Musculo-Skeletal System,bone_structure,M,MCQ,null,null,What protects a bone from becoming brittle and breaking easily?,Water,Mineral salts (Calcium/Phosphorus),Skin,Air,Option_B,Minerals provide the hardness.,The presence of calcium and phosphorus keeps bones strong and prevents them from breaking.,,"[""P7"",""Science"",""Minerals""]",,,,
SCI-P7-T1-00309,T1,Musculo-Skeletal System,bone_structure,E,MCQ,null,null,Which part of the bone is responsible for feeling pain?,The marrow,The nerves,The calcium,The fat,Option_B,Living tissue has these sensors.,Bones have nerves that allow us to feel pain if a bone is injured or broken.,,"[""P7"",""Science"",""Nerves""]",,,,
SCI-P7-T1-00310,T1,Musculo-Skeletal System,bone_structure,H,MCQ,null,null,"Besides blood cells, what else does yellow bone marrow contain?",Cartilage,Hair,Fat cells,Air bubbles,Option_C,It is a energy storage site.,Yellow bone marrow is primarily composed of fat cells.,,"[""P7"",""Science"",""Yellow Marrow""]",,,,
SCI-P7-T1-00311,T1,Musculo-Skeletal System,bone_structure,M,MCQ,null,null,Why does bone marrow need a blood supply?,To cool down,To transport the manufactured blood cells to the body,To stay dry,To grow hair,Option_B,"Once the ""factory"" makes the cells, they need to be shipped out.",Blood vessels transport the new blood cells from the marrow into the bloodstream.,,"[""P7"",""Science"",""Marrow""]",,,,
SCI-P7-T1-00312,T1,Musculo-Skeletal System,bone_structure,E,MCQ,null,null,The skeleton provide a surface area for the attachment of?,Skin,Muscles,Clothes,Nerves,Option_B,This allows the body to move.,Bones provide a solid surface for muscles to attach to via tendons.,,"[""P7"",""Science"",""Muscles""]",,,,
SCI-P7-T1-00313,T1,Musculo-Skeletal System,bone_structure,M,MCQ,null,null,What is the porous part of the bone called?,Hard bone,Marrow,Spongy bone,Cavity,Option_C,"It's the ""holey"" part.",Spongy bone is the porous inner layer of bone.,,"[""P7"",""Science"",""Spongy Bone""]",,,,
SCI-P7-T1-00314,T1,Musculo-Skeletal System,bone_structure,H,MCQ,null,null,Red marrow manufactures blood cells in the porous ends of which bones?,Short bones,Long bones,Flat bones,Irregular bones,Option_B,Check the P.7 Science notes section 5 on bones.,Red blood cells are made in the porous ends of long bones like the femur.,,"[""P7"",""Science"",""Long Bones""]",,,,
SCI-P7-T1-00315,T1,Musculo-Skeletal System,bone_structure,M,MCQ,null,null,What makes a bone strong enough to support the body's weight?,The marrow,The nerves,Mineral storage (Calcium),The cartilage,Option_C,The minerals provide the rigidity.,The storage of calcium and phosphorus gives the bone its strength.,,"[""P7"",""Science"",""Minerals""]",,,,
SCI-P7-T1-00316,T1,Musculo-Skeletal System,bone_structure,E,MCQ,null,null,Bone marrow is a ______ tissue?,Hard,Soft,Liquid,Gaseous,Option_B,"It's the inner part, not the shell.",Bone marrow is a soft connective tissue inside bones.,,"[""P7"",""Science"",""Marrow""]",,,,
SCI-P7-T1-00317,T1,Musculo-Skeletal System,bone_structure,H,MCQ,null,null,Which part of the bone is most concerned with making the body's red blood cells?,Yellow marrow,Hard bone,Red marrow,Cartilage,Option_C,Matches the color of the cells.,Red bone marrow is the primary site for red blood cell production.,,"[""P7"",""Science"",""Red Marrow""]",,,,
SCI-P7-T1-00318,T1,Musculo-Skeletal System,bone_structure,M,MCQ,null,null,Bones are a storehouse for phosphorus and?,Salt,Sugar,Calcium,Water,Option_C,Essential bone mineral.,Bones store phosphorus and calcium.,,"[""P7"",""Science"",""Minerals""]",,,,
